product_name,product_type,sales_volume,price,sale_time,date,platform,brand,reviews,rating
Grass-roots fault-tolerant migration,Kem chống nắng vật lý,4579,350.89,Tháng 4,2024-08-23,Lazada,Neutrogena,866,2.9
Proactive web-enabled capacity,Kem chống nắng vật lý,241,286.54,Tháng 3,2022-01-09,Lazada,Garnier,998,5.0
Multi-channeled even-keeled software,Thực phẩm sạch,2383,115.83,Tháng 8,2022-07-19,Lazada,Estée Lauder,934,2.5
Ameliorated intangible intranet,Mỹ phẩm tự nhiên,228,162.87,Tháng 8,2022-01-11,Shopee,Uniqlo,888,1.5
Robust coherent superstructure,Kem chống nắng vật lý,2166,482.05,Tháng 3,2022-07-19,Lazada,Olay,272,2.3
Switchable zero-defect Graphical User Interface,Nước hoa nữ,4555,188.57,Tháng 6,2023-03-12,Lazada,Avène,635,3.0
Centralized radical strategy,Sản phẩm chăm sóc thú cưng,285,459.99,Tháng 2,2022-09-23,Shopee,L'Occitane,221,1.9
Diverse transitional info-mediaries,Điện thoại thông minh,1327,365.37,Tháng 7,2022-02-18,Shopee,Wella,109,2.5
Pre-emptive well-modulated flexibility,Nước tẩy trang,1795,456.59,Tháng 7,2024-02-27,Lazada,Burt's Bees,247,3.4
Decentralized asynchronous Graphical User Interface,Bột ăn dặm,1311,177.76,Tháng 5,2023-10-05,Lazada,Laneige,509,1.1
Enhanced dynamic forecast,Đồ gỗ,2691,449.28,Tháng 7,2024-03-16,Shopee,Neutrogena,916,4.8
Configurable human-resource system engine,Sản phẩm làm sạch,50,416.57,Tháng 12,2023-08-08,Shopee,Garnier SkinActive,505,2.6
Streamlined uniform open architecture,Mỹ phẩm Nhật Bản,4035,326.52,Tháng 7,2023-03-12,Lazada,Nivea Men,126,3.4
Operative multi-state process improvement,Đồ dùng trẻ em,2514,428.15,Tháng 10,2022-09-20,Lazada,Dove,11,3.3
Pre-emptive human-resource approach,Mặt nạ thiên nhiên,2031,418.81,Tháng 9,2024-05-11,Lazada,O.P.I.,675,3.9
Inverse executive open system,Sản phẩm dưỡng móng,2883,275.49,Tháng 9,2023-04-08,Shopee,Garnier,710,2.6
Organized impactful projection,Sản phẩm bảo vệ môi trường,378,154.24,Tháng 5,2023-02-11,Shopee,Dove,678,4.3
Exclusive fresh-thinking portal,Nước tẩy trang,3043,491.71,Tháng 1,2022-08-08,Lazada,Axe,978,2.5
Organic interactive methodology,Thiết bị thể thao,841,483.18,Tháng 5,2023-01-18,Shopee,Uniqlo,513,4.5
Progressive transitional project,Sản phẩm bảo vệ môi trường,1590,20.41,Tháng 12,2024-10-17,Shopee,Huggies,302,3.3
User-centric zero administration framework,Mặt nạ thiên nhiên,2337,462.92,Tháng 7,2023-10-20,Shopee,SK-II,747,2.0
Exclusive static strategy,Đồ dùng học tập,3375,126.1,Tháng 9,2023-02-19,Shopee,Dior,236,3.7
Public-key leadingedge circuit,Mỹ phẩm hữu cơ,4425,371.42,Tháng 8,2024-09-22,Lazada,Burt's Bees,122,4.5
Realigned zero-defect contingency,Giày dép,4496,353.45,Tháng 9,2024-04-12,Lazada,Fenty Beauty,289,4.5
Vision-oriented background open architecture,Bánh ngọt,4391,91.49,Tháng 8,2024-10-05,Lazada,Physiogel,830,2.6
Versatile dynamic instruction set,Dầu tẩy trang,3422,326.5,Tháng 6,2024-07-28,Lazada,Himalaya,794,3.2
Fundamental even-keeled neural-net,Sản phẩm công nghệ,2744,221.06,Tháng 4,2022-08-26,Shopee,Bioré,124,1.7
Universal multi-state collaboration,Đồ chơi giáo dục,1833,98.91,Tháng 2,2023-02-15,Lazada,Olay Regenerist,663,1.5
Operative modular core,Sản phẩm dưỡng ẩm,467,479.55,Tháng 6,2024-04-24,Shopee,Cosrx,247,4.2
Synergistic optimal matrix,Dầu xả,2619,102.65,Tháng 6,2023-07-19,Lazada,The Body Shop Tea Tree,397,1.8
